bug_id,fixed_file,decision
247069,Display,localizable
248735,DragSource,localizable
248731,FileDialog,localizable
248950,Control,localizable
211696,CLabel,localizable
249608,TextLayout,localizable
249612,N/A,not-localizable
249000,N/A,not-localizable
249286,Table,localizable
249517,Combo,localizable
249999,N/A,not-localizable
250327,Display,localizable
248551,GC,localizable
248881,N/A,not-localizable
242716,Table,localizable
250622,N/A,not-localizable
250841,Table,localizable
250782,Image,localizable
211048,N/A,not-localizable
249007,N/A,not-localizable
250859,N/A,not-localizable
250994,N/A,not-localizable
251007,TextLayout,localizable
249001,GC,localizable
250976,FileDialog,localizable
250193,N/A,not-localizable
251084,N/A,not-localizable
250172,N/A,not-localizable
50228,GC,localizable
249005,N/A,not-localizable
251442,StyledText,localizable
249003,N/A,not-localizable
250178,N/A,not-localizable
251607,TextLayout,localizable
251603,TextLayout,localizable
225266,OS,localizable
249880,N/A,not-localizable
251581,N/A,not-localizable
251583,Display,localizable
251516,N/A,not-localizable
251469,N/A,not-localizable
251614,N/A,not-localizable
251128,Display,localizable
250574,Group,localizable
251618,N/A,not-localizable
251149,Button,localizable
222791,Spinner,localizable
210443,N/A,not-localizable
252079,N/A,not-localizable
252064,Label,localizable
251779,N/A,not-localizable
251582,N/A,not-localizable
252232,N/A,not-localizable
252252,N/A,not-localizable
252464,N/A,not-localizable
247558,FileDialog,localizable
252460,N/A,not-localizable
252441,N/A,not-localizable
247866,N/A,not-localizable
252995,N/A,not-localizable
252427,List,localizable
252679,N/A,not-localizable
252422,N/A,not-localizable
252424,List,localizable
252370,N/A,not-localizable
253189,N/A,not-localizable
252245,N/A,not-localizable
253240,N/A,not-localizable
246541,N/A,not-localizable
246274,Button,localizable
252747,N/A,not-localizable
252642,N/A,not-localizable
252749,N/A,not-localizable
252895,N/A,not-localizable
252678,N/A,not-localizable
252903,N/A,not-localizable
252486,N/A,not-localizable
239141,OS,localizable
253294,N/A,not-localizable
253265,ToolItem,localizable
253720,Printer,localizable
253058,StyledText,localizable
253057,StyledText,localizable
253964,N/A,not-localizable
253259,Label,localizable
250175,N/A,not-localizable
251762,N/A,not-localizable
253065,N/A,not-localizable
253254,Mozilla,localizable
252388,N/A,not-localizable
253225,N/A,not-localizable
254607,N/A,not-localizable
254808,N/A,not-localizable
254947,N/A,not-localizable
254865,N/A,not-localizable
254797,N/A,not-localizable
253220,N/A,not-localizable
252418,N/A,not-localizable
255398,Image,localizable
255373,N/A,not-localizable
128804,N/A,not-localizable
249210,N/A,not-localizable
255821,Image,localizable
255658,N/A,not-localizable
245523,GC,localizable
248921,GC,localizable
253673,Snippet207,localizable
255403,N/A,not-localizable
255282,CCombo,localizable
256170,Image,localizable
256261,N/A,not-localizable
256350,N/A,not-localizable
256687,Tree,localizable
256688,TreeItem,localizable
255730,Tree,localizable
233303,N/A,not-localizable
223590,N/A,not-localizable
257056,N/A,not-localizable
256845,Shell,localizable
256770,StyledText,localizable
256870,CTabFolder,localizable
256685,CoolBar,localizable
257238,StyledText,localizable
257278,N/A,not-localizable
257614,Browser,localizable
254956,N/A,not-localizable
256476,Spinner,localizable
117934,N/A,not-localizable
257534,N/A,not-localizable
257967,N/A,not-localizable
250179,N/A,not-localizable
258134,N/A,not-localizable
258159,MessageBox,localizable
258309,nsIMemory,localizable
250579,N/A,not-localizable
256169,N/A,not-localizable
248762,Combo,localizable
258970,GC,localizable
258975,Menu,localizable
258978,NSIndexSet,localizable
257007,Group,localizable
245783,DateTime,localizable
257582,Table,localizable
251012,GC,localizable
256719,Label,localizable
259295,Label,localizable
259910,ImageData,localizable
260076,N/A,not-localizable
257237,N/A,not-localizable
257088,N/A,not-localizable
257442,MenuItem,localizable
260123,N/A,not-localizable
257584,Table,localizable
240142,N/A,not-localizable
260277,Table,localizable
199964,Text,localizable
260291,N/A,not-localizable
260273,N/A,not-localizable
258305,N/A,not-localizable
245590,N/A,not-localizable
256173,N/A,not-localizable
253745,N/A,not-localizable
260460,N/A,not-localizable
242838,ExpandBar,localizable
260364,N/A,not-localizable
258992,N/A,not-localizable
253227,N/A,not-localizable
237517,N/A,not-localizable
182914,OS,localizable
260598,Image,localizable
256159,N/A,not-localizable
260870,ToolItem,localizable
256825,N/A,not-localizable
254533,N/A,not-localizable
251454,Table,localizable
253786,N/A,not-localizable
259003,N/A,not-localizable
259379,Text,localizable
261099,N/A,not-localizable
244597,Menu,localizable
261052,N/A,not-localizable
261228,N/A,not-localizable
252479,N/A,not-localizable
252419,Spinner,localizable
254792,N/A,not-localizable
261354,N/A,not-localizable
153432,N/A,not-localizable
261854,Tree,localizable
258110,N/A,not-localizable
261576,N/A,not-localizable
250443,N/A,not-localizable
258675,N/A,not-localizable
262230,N/A,not-localizable
262346,N/A,not-localizable
256327,N/A,not-localizable
262117,Image,localizable
253990,N/A,not-localizable
256346,Combo,localizable
260585,N/A,not-localizable
262573,N/A,not-localizable
261553,N/A,not-localizable
262767,N/A,not-localizable
262939,Snippet195,localizable
263062,N/A,not-localizable
262888,N/A,not-localizable
262651,OS,localizable
262702,N/A,not-localizable
262984,N/A,not-localizable
263071,N/A,not-localizable
258727,CTabFolder,localizable
260761,Display,localizable
250575,N/A,not-localizable
262866,N/A,not-localizable
256919,N/A,not-localizable
262700,N/A,not-localizable
262970,N/A,not-localizable
263530,N/A,not-localizable
256940,N/A,not-localizable
248796,N/A,not-localizable
256469,N/A,not-localizable
263664,Tree,localizable
247444,DragSource,localizable
263677,Tree,localizable
263603,N/A,not-localizable
263529,N/A,not-localizable
252279,Group,localizable
234240,Group,localizable
263967,Spinner,localizable
262955,URLTransfer,localizable
260514,N/A,not-localizable
264003,N/A,not-localizable
263620,CTabFolder,localizable
262922,N/A,not-localizable
264019,N/A,not-localizable
264255,Tree,localizable
264553,Shell,localizable
263563,N/A,not-localizable
257188,N/A,not-localizable
263971,Spinner,localizable
264705,TextLayout,localizable
262978,N/A,not-localizable
264212,N/A,not-localizable
264764,List,localizable
264703,OS,localizable
264762,N/A,not-localizable
262968,N/A,not-localizable
263999,N/A,not-localizable
265188,N/A,not-localizable
263518,N/A,not-localizable
252251,Display,localizable
264425,SashForm,localizable
265326,N/A,not-localizable
265427,N/A,not-localizable
265393,N/A,not-localizable
264399,N/A,not-localizable
265606,N/A,not-localizable
265570,N/A,not-localizable
265897,Text,localizable
265481,N/A,not-localizable
265991,N/A,not-localizable
261732,Display,localizable
266180,N/A,not-localizable
253075,N/A,not-localizable
266370,N/A,not-localizable
266499,IME,localizable
266407,N/A,not-localizable
266344,Table,localizable
266475,N/A,not-localizable
266625,N/A,not-localizable
266516,N/A,not-localizable
266883,N/A,not-localizable
261548,N/A,not-localizable
266549,N/A,not-localizable
266330,N/A,not-localizable
266828,Combo,localizable
266385,N/A,not-localizable
266405,N/A,not-localizable
254498,N/A,not-localizable
255000,Browser,localizable
267270,N/A,not-localizable
267196,N/A,not-localizable
267104,N/A,not-localizable
267138,N/A,not-localizable
267516,Tree,localizable
265947,LocationEvent,localizable
267103,Text,localizable
267752,N/A,not-localizable
267841,N/A,not-localizable
267126,N/A,not-localizable
267450,N/A,not-localizable
266335,N/A,not-localizable
266203,N/A,not-localizable
267717,N/A,not-localizable
253060,N/A,not-localizable
268303,N/A,not-localizable
252416,Table,localizable
268307,Tree,localizable
267886,N/A,not-localizable
268389,N/A,not-localizable
267174,N/A,not-localizable
268217,N/A,not-localizable
236630,N/A,not-localizable
267129,N/A,not-localizable
268543,Test_org_eclipse_swt_graphics_Cursor,localizable
253214,MessageBox,localizable
268613,N/A,not-localizable
268732,N/A,not-localizable
267466,N/A,not-localizable
268787,OS,localizable
268410,Spinner,localizable
253217,N/A,not-localizable
210871,N/A,not-localizable
268853,N/A,not-localizable
269031,Image,localizable
268649,N/A,not-localizable
269106,N/A,not-localizable
269305,OS,localizable
262694,N/A,not-localizable
269506,N/A,not-localizable
269533,StyledText,localizable
213185,DropTargetEvent,localizable
267468,N/A,not-localizable
269599,N/A,not-localizable
268745,NSView,localizable
267895,StyledText,localizable
269606,N/A,not-localizable
269950,N/A,not-localizable
268724,N/A,not-localizable
222863,List,localizable
270140,Display,localizable
270177,DateTime,localizable
268181,N/A,not-localizable
242388,N/A,not-localizable
263589,TrayItem,localizable
136515,GLCanvas,localizable
266974,GLCanvas,localizable
270179,N/A,not-localizable
226973,N/A,not-localizable
268651,N/A,not-localizable
239477,N/A,not-localizable
185204,CTabFolder,localizable
270654,Scale,localizable
270663,Combo,localizable
270861,N/A,not-localizable
270544,N/A,not-localizable
270880,Combo,localizable
271017,N/A,not-localizable
271027,N/A,not-localizable
240033,N/A,not-localizable
271026,N/A,not-localizable
270406,N/A,not-localizable
271179,Program,localizable
270670,CTabFolder,localizable
271336,N/A,not-localizable
270954,OS,localizable
259687,N/A,not-localizable
271634,Display,localizable
267507,OS,localizable
253229,Display,localizable
188320,N/A,not-localizable
271697,Shell,localizable
271904,N/A,not-localizable
222783,Table,localizable
272259,N/A,not-localizable
267038,N/A,not-localizable
269566,N/A,not-localizable
253056,StyledText,localizable
272616,N/A,not-localizable
272631,GC,localizable
267680,N/A,not-localizable
272710,GC,localizable
272827,N/A,not-localizable
272868,N/A,not-localizable
271692,GC,localizable
272989,N/A,not-localizable
272833,N/A,not-localizable
271691,GC,localizable
254497,N/A,not-localizable
272834,Table,localizable
273095,N/A,not-localizable
273083,N/A,not-localizable
273117,N/A,not-localizable
272046,N/A,not-localizable
273280,Link,localizable
271384,Safari,localizable
268529,N/A,not-localizable
271310,N/A,not-localizable
273313,N/A,not-localizable
272412,Button,localizable
273521,ToolBar,localizable
273631,N/A,not-localizable
273919,N/A,not-localizable
273492,N/A,not-localizable
273939,ToolBar,localizable
258391,N/A,not-localizable
273635,N/A,not-localizable
272276,N/A,not-localizable
274295,ImageTransfer,localizable
264560,N/A,not-localizable
274230,N/A,not-localizable
274538,N/A,not-localizable
274188,N/A,not-localizable
274302,Group,localizable
274169,StyledText,localizable
274344,N/A,not-localizable
273661,N/A,not-localizable
236808,N/A,not-localizable
274022,N/A,not-localizable
274696,Tree,localizable
274271,N/A,not-localizable
274931,N/A,not-localizable
274890,OS,localizable
245278,DateTime,localizable
272401,N/A,not-localizable
274274,N/A,not-localizable
271029,Mozilla,localizable
273099,N/A,not-localizable
274161,N/A,not-localizable
274141,N/A,not-localizable
275207,N/A,not-localizable
270495,ImageData,localizable
273354,N/A,not-localizable
254861,N/A,not-localizable
274385,N/A,not-localizable
262981,N/A,not-localizable
273953,N/A,not-localizable
270316,N/A,not-localizable
270676,StyledText,localizable
275459,GC,localizable
267884,N/A,not-localizable
180176,N/A,not-localizable
275484,N/A,not-localizable
274001,N/A,not-localizable
266172,Shell,localizable
275681,DialogTab,localizable
268503,DateTime,localizable
269413,N/A,not-localizable
275913,StyledText,localizable
275631,N/A,not-localizable
275552,Font,localizable
275875,N/A,not-localizable
275945,N/A,not-localizable
276131,N/A,not-localizable
276826,N/A,not-localizable
276760,N/A,not-localizable
276683,Tree,localizable
276553,N/A,not-localizable
276531,N/A,not-localizable
276516,StyledText,localizable
276485,N/A,not-localizable
276854,StyledText,localizable
276506,StyledText,localizable
277173,N/A,not-localizable
276569,N/A,not-localizable
277195,FileDialog,localizable
277175,SWTAccessibleDelegate,localizable
277193,N/A,not-localizable
277285,N/A,not-localizable
276564,N/A,not-localizable
277314,N/A,not-localizable
277235,N/A,not-localizable
277668,StyledTextTab,localizable
273570,N/A,not-localizable
277437,Font,localizable
277631,IME,localizable
261206,N/A,not-localizable
277442,N/A,not-localizable
277268,N/A,not-localizable
277539,GLCanvas,localizable
278413,Library,localizable
279042,N/A,not-localizable
279501,Snippet197,localizable
280976,TreeItem,localizable
281011,Control,localizable
276178,Table,localizable
277474,N/A,not-localizable
245572,Browser9,localizable
77217,N/A,not-localizable
279313,TreeItem,localizable
279329,N/A,not-localizable
277888,N/A,not-localizable
277377,IE,localizable
278370,Mozilla,localizable
278981,N/A,not-localizable
280921,Tree,localizable
275589,N/A,not-localizable
278780,Menu,localizable
173888,Snippet165,localizable
277315,Combo,localizable
275617,N/A,not-localizable
280708,GC,localizable
278376,N/A,not-localizable
283346,N/A,not-localizable
277438,StyledText,localizable
278625,N/A,not-localizable
279676,N/A,not-localizable
277567,N/A,not-localizable
279917,N/A,not-localizable
281352,Text,localizable
283313,Table,localizable
277454,N/A,not-localizable
283958,N/A,not-localizable
279273,N/A,not-localizable
283688,Table,localizable
278982,N/A,not-localizable
282441,N/A,not-localizable
278959,FontData,localizable
278782,N/A,not-localizable
273850,N/A,not-localizable
277356,Tree,localizable
279712,N/A,not-localizable
283108,IE,localizable
275900,Text,localizable
276110,Label,localizable
283850,N/A,not-localizable
281725,OS,localizable
65796,N/A,not-localizable
273678,Shell,localizable
280569,OS,localizable
284993,N/A,not-localizable
279877,GC,localizable
278944,Image,localizable
285656,N/A,not-localizable
279013,N/A,not-localizable
108792,N/A,not-localizable
271703,N/A,not-localizable
286113,List,localizable
282998,GC,localizable
268789,N/A,not-localizable
36802,OleAutomation,localizable
285641,N/A,not-localizable
68194,N/A,not-localizable
280537,N/A,not-localizable
279052,ImageTransfer,localizable
279441,Combo,localizable
251270,Combo,localizable
262925,N/A,not-localizable
285773,Combo,localizable
276892,N/A,not-localizable
286687,GC,localizable
286763,Text,localizable
271765,ToolItem,localizable
286063,Text,localizable
214807,N/A,not-localizable
270531,N/A,not-localizable
287119,StyledText,localizable
142490,N/A,not-localizable
287278,N/A,not-localizable
278704,Spinner,localizable
274532,Table,localizable
278489,Text,localizable
276416,N/A,not-localizable
287149,FileDialog,localizable
278886,Text,localizable
218562,N/A,not-localizable
287694,Spinner,localizable
287665,MessageBox,localizable
284858,N/A,not-localizable
287495,N/A,not-localizable
288146,N/A,not-localizable
283217,N/A,not-localizable
281695,N/A,not-localizable
288480,Label,localizable
288452,TextLayout,localizable
288856,N/A,not-localizable
277072,Browser,localizable
287307,N/A,not-localizable
289219,N/A,not-localizable
288857,N/A,not-localizable
133133,N/A,not-localizable
275070,N/A,not-localizable
289974,N/A,not-localizable
148532,ToolItem,localizable
279356,StyledText,localizable
288506,DirectoryDialog,localizable
289467,Region,localizable
289470,N/A,not-localizable
202414,Link,localizable
84620,IE,localizable
277714,N/A,not-localizable
289244,N/A,not-localizable
289401,Tracker,localizable
287234,Table,localizable
290125,N/A,not-localizable
290204,Text,localizable
290240,N/A,not-localizable
290216,N/A,not-localizable
290397,Accessible,localizable
290320,N/A,not-localizable
142593,N/A,not-localizable
279408,N/A,not-localizable
232560,N/A,not-localizable
228695,N/A,not-localizable
290635,Shell,localizable
289612,N/A,not-localizable
278132,N/A,not-localizable
290759,Control,localizable
291030,N/A,not-localizable
280277,OS,localizable
204582,N/A,not-localizable
291229,N/A,not-localizable
60387,N/A,not-localizable
289752,StyledText,localizable
291354,ProgressBar,localizable
291307,N/A,not-localizable
264398,N/A,not-localizable
291209,TableColumn,localizable
288474,N/A,not-localizable
291726,N/A,not-localizable
291724,Link,localizable
291918,Combo,localizable
277355,N/A,not-localizable
288964,N/A,not-localizable
292119,N/A,not-localizable
291788,N/A,not-localizable
292187,OleClientSite,localizable
291486,N/A,not-localizable
292321,NSString,localizable
275979,Group,localizable
72872,CLabel,localizable
211983,N/A,not-localizable
292333,N/A,not-localizable
53184,N/A,not-localizable
290568,N/A,not-localizable
136932,N/A,not-localizable
235554,N/A,not-localizable
274432,Shell,localizable
281383,Browser,localizable
278081,Slider,localizable
286040,N/A,not-localizable
293315,N/A,not-localizable
293490,ControlExample,localizable
72905,CTabFolder,localizable
292281,N/A,not-localizable
293513,Text,localizable
288468,Tree,localizable
294053,OS,localizable
294171,Canvas,localizable
292227,N/A,not-localizable
294335,N/A,not-localizable
294308,N/A,not-localizable
260407,N/A,not-localizable
294368,AppFileLocProvider,localizable
295232,Button,localizable
295368,Widget,localizable
295513,TextLayout,localizable
295681,Spinner,localizable
274963,N/A,not-localizable
295856,ProgressBar,localizable
295774,N/A,not-localizable
185202,CTabFolder,localizable
188440,N/A,not-localizable
290395,N/A,not-localizable
291128,N/A,not-localizable
188372,Table,localizable
295185,N/A,not-localizable
297507,Table,localizable
297823,TextTransfer,localizable
297911,N/A,not-localizable
298424,Shell,localizable
297605,N/A,not-localizable
297477,N/A,not-localizable
296284,N/A,not-localizable
246505,CCombo,localizable
294542,N/A,not-localizable
299436,N/A,not-localizable
299302,CCombo,localizable
280005,N/A,not-localizable
119192,CCombo,localizable
295959,N/A,not-localizable
298805,N/A,not-localizable
298473,Safari,localizable
299686,N/A,not-localizable
298612,N/A,not-localizable
299094,Program,localizable
300056,N/A,not-localizable
299241,OleControlSite,localizable
300070,N/A,not-localizable
295483,Display,localizable
293931,N/A,not-localizable
252390,Table,localizable
300641,N/A,not-localizable
301091,N/A,not-localizable
301018,Mozilla,localizable
298942,Mozilla,localizable
279454,N/A,not-localizable
185934,N/A,not-localizable
294986,N/A,not-localizable
301863,PrintDialog,localizable
301684,N/A,not-localizable
302053,CLabel,localizable
69814,StyledText,localizable
301212,StyledText,localizable
271298,Shell,localizable
225401,Shell,localizable
302861,Program,localizable
298435,N/A,not-localizable
285223,N/A,not-localizable
260533,N/A,not-localizable
300995,N/A,not-localizable
301911,N/A,not-localizable
302950,N/A,not-localizable
303499,N/A,not-localizable
304677,N/A,not-localizable
304750,N/A,not-localizable
304802,Text,localizable
304606,Table,localizable
303487,N/A,not-localizable
302972,N/A,not-localizable
305070,CCombo,localizable
305536,CTabFolder,localizable
305537,N/A,not-localizable
305444,N/A,not-localizable
305553,CTabFolder,localizable
304093,DragSource,localizable
305704,Display,localizable
305335,Display,localizable
305294,N/A,not-localizable
305332,TaskItem,localizable
305230,Safari,localizable
305186,N/A,not-localizable
305095,Display,localizable
36806,N/A,not-localizable
297480,Table,localizable
294737,FileDialog,localizable
303263,N/A,not-localizable
305224,N/A,not-localizable
295482,N/A,not-localizable
307403,Control,localizable
213050,Combo,localizable
212594,Printer,localizable
305096,Shell,localizable
305795,N/A,not-localizable
307947,Accessible,localizable
307681,StyledTextRenderer,localizable
292665,N/A,not-localizable
308381,N/A,not-localizable
308057,StyledText,localizable
308500,Safari,localizable
290373,N/A,not-localizable
298143,N/A,not-localizable
308724,N/A,not-localizable
308445,N/A,not-localizable
304780,N/A,not-localizable
308329,N/A,not-localizable
247216,OS,localizable
308496,IE,localizable
303818,Spinner,localizable
291253,Shell,localizable
308270,Program,localizable
288824,Spinner,localizable
107337,N/A,not-localizable
310083,AccessibleTextEvent,localizable
310290,N/A,not-localizable
310401,Combo,localizable
283503,N/A,not-localizable
310660,TextLayout,localizable
310707,N/A,not-localizable
310912,StyledText,localizable
311228,N/A,not-localizable
311231,N/A,not-localizable
311216,DirectoryDialog,localizable
311129,nsID,localizable
310932,N/A,not-localizable
305433,Shell,localizable
310648,ToolBar,localizable
282229,OS,localizable
311302,Accessible,localizable
311292,N/A,not-localizable
311303,N/A,not-localizable
311466,N/A,not-localizable
311462,Display,localizable
311602,AccessibleObject,localizable
291749,Link,localizable
311632,AccessibleObject,localizable
311746,N/A,not-localizable
310636,N/A,not-localizable
311631,N/A,not-localizable
311881,Link,localizable
311687,Link,localizable
291326,N/A,not-localizable
311819,StyledText,localizable
309570,Table,localizable
298744,Program,localizable
288669,PrintDialog,localizable
311974,N/A,not-localizable
312097,N/A,not-localizable
311973,StyledText,localizable
312112,N/A,not-localizable
277098,N/A,not-localizable
309753,N/A,not-localizable
118049,CCombo,localizable
312528,Accessible,localizable
312359,N/A,not-localizable
307991,IE,localizable
312722,Relation,localizable
311809,Accessible,localizable
312810,N/A,not-localizable
313182,N/A,not-localizable
312956,N/A,not-localizable
309907,ToolTip,localizable
313197,Table,localizable
312734,Table,localizable
313223,N/A,not-localizable
313424,N/A,not-localizable
313444,N/A,not-localizable
312346,StyledText,localizable
312927,N/A,not-localizable
313787,StyledText,localizable
311817,Relation,localizable
312315,TableItem,localizable
313937,Composite,localizable
314066,N/A,not-localizable
314079,N/A,not-localizable
313711,Resource,localizable
314064,N/A,not-localizable
313594,StyledText,localizable
314432,N/A,not-localizable
315326,N/A,not-localizable
314914,GridData,localizable
312830,Mozilla,localizable
316811,Safari,localizable
317051,Table,localizable
317782,TextTransfer,localizable
313593,Accessible,localizable
317390,N/A,not-localizable
313121,Text,localizable
294860,N/A,not-localizable
315894,N/A,not-localizable
314243,N/A,not-localizable
316938,N/A,not-localizable
294761,N/A,not-localizable
315932,N/A,not-localizable
309269,Table,localizable
313740,N/A,not-localizable
319582,N/A,not-localizable
218929,N/A,not-localizable
315812,ToolItem,localizable
319677,N/A,not-localizable
317843,Display,localizable
313846,Shell,localizable
313315,N/A,not-localizable
312195,N/A,not-localizable
313208,N/A,not-localizable
320135,N/A,not-localizable
299451,Tracker,localizable
302802,Group,localizable
320581,Control,localizable
320879,N/A,not-localizable
315948,N/A,not-localizable
320484,FontData,localizable
297633,Button,localizable
321359,Image,localizable
321614,N/A,not-localizable
316238,N/A,not-localizable
321898,N/A,not-localizable
312365,DropTarget,localizable
312371,N/A,not-localizable
317902,N/A,not-localizable
284777,N/A,not-localizable
322137,Shell,localizable
322151,N/A,not-localizable
314416,N/A,not-localizable
243529,N/A,not-localizable
322253,Menu,localizable
316806,N/A,not-localizable
315140,StyledText,localizable
322222,N/A,not-localizable
312960,N/A,not-localizable
322438,N/A,not-localizable
303454,Display,localizable
323056,N/A,not-localizable
323092,ScrollBar,localizable
323219,N/A,not-localizable
317163,BrowserFactory,localizable
323373,N/A,not-localizable
320066,N/A,not-localizable
317872,N/A,not-localizable
320064,CCombo,localizable
323535,Table,localizable
321974,N/A,not-localizable
323763,N/A,not-localizable
323995,StyledText,localizable
322966,N/A,not-localizable
318830,Text,localizable
321754,Shell,localizable
324497,N/A,not-localizable
324892,N/A,not-localizable
276346,TableEditor,localizable
289868,N/A,not-localizable
325012,N/A,not-localizable
325383,N/A,not-localizable
324345,Shell,localizable
325607,N/A,not-localizable
325153,N/A,not-localizable
325687,N/A,not-localizable
284028,Display,localizable
297511,Table,localizable
